date,start_time,end_time,temp_high,temp_low,weather,wind_speed,wind_dir,humidity,pressure
20170101,00:00,06:00,-7,-9,Clear.,14,220,92,1023
20170101,06:00,12:00,-2,-9,Sunny.,13,250,89,1020
20170101,12:00,18:00,0,-4,Sunny.,8,250,77,1017
20170101,18:00,00:00,-3,-5,Clear.,20,240,88,1016
20170102,00:00,06:00,-2,-2,Passing clouds.,16,260,92,1016
20170102,06:00,12:00,-1,-2,Light snow. Partly sunny.,23,260,95,1017
20170102,12:00,18:00,0,-1,Partly sunny.,24,270,91,1018
20170102,18:00,00:00,-1,-4,Clear.,21,260,94,1020
20170103,00:00,06:00,0,-3,Passing clouds.,22,250,90,1021
20170103,06:00,12:00,2,0,Scattered clouds.,31,250,84,1021
20170103,12:00,18:00,2,1,Partly sunny.,33,240,84,1018
20170103,18:00,00:00,2,1,Light snow. Passing clouds.,41,240,82,1013
20170104,00:00,06:00,2,1,Passing clouds.,42,250,88,1008
20170104,06:00,12:00,2,0,Light rain. Passing clouds.,34,260,93,1006
20170104,12:00,18:00,3,1,Light snow. Passing clouds.,34,280,84,1006
20170104,18:00,00:00,1,-2,Clear.,33,290,84,1011
20170105,00:00,06:00,-2,-4,Passing clouds.,29,330,70,1016
20170105,06:00,12:00,-3,-4,Passing clouds.,24,340,86,1023
20170105,12:00,18:00,-3,-5,Light mixture of precip. Passing clouds.,19,20,84,1029
20170105,18:00,00:00,-5,-10,Passing clouds.,11,10,83,1034
20170106,00:00,06:00,-9,-14,Clear.,9,280,83,1037
20170106,06:00,12:00,-9,-13,Sunny.,9,230,86,1039
20170106,12:00,18:00,-4,-9,Sunny.,4,330,71,1039
20170106,18:00,00:00,-9,-13,Clear.,12,200,84,1038
20170107,00:00,06:00,-9,-13,Clear.,15,200,80,1035
20170107,06:00,12:00,-6,-9,Sunny.,20,230,65,1032
20170107,12:00,18:00,-5,-6,Partly sunny.,21,230,70,1028
20170107,18:00,00:00,-4,-6,Light snow. Passing clouds.,16,250,88,1025
20170108,00:00,06:00,-4,-5,Light snow. Partly cloudy.,24,260,94,1024
20170108,06:00,12:00,-1,-3,Broken clouds.,18,270,95,1026
20170108,12:00,18:00,0,-1,Broken clouds.,14,260,96,1029
20170108,18:00,00:00,0,-1,Passing clouds.,11,280,98,1029
20170109,00:00,06:00,-1,-1,Low clouds.,10,260,100,1028
20170109,06:00,12:00,-1,-1,Overcast.,9,250,86,1026
20170109,12:00,18:00,0,-1,Partly sunny.,13,190,78,1023
20170109,18:00,00:00,0,-1,Passing clouds.,17,200,82,1018
20170110,00:00,06:00,0,-2,Passing clouds.,20,200,82,1013
20170110,06:00,12:00,0,-3,Passing clouds.,22,190,77,1010
20170110,12:00,18:00,0,-3,Passing clouds.,17,190,73,1010
20170110,18:00,00:00,-2,-5,Passing clouds.,12,190,82,1013
20170111,00:00,06:00,-1,-2,Passing clouds.,13,210,85,1013
20170111,06:00,12:00,1,-2,Broken clouds.,26,190,81,1009
20170111,12:00,18:00,2,1,Light snow. Partly sunny.,34,210,85,1001
20170111,18:00,00:00,3,2,Passing clouds.,27,240,88,1002
20170112,00:00,06:00,3,2,Sprinkles. Passing clouds.,28,260,82,1006
20170112,06:00,12:00,4,2,Partly sunny.,29,240,78,1008
20170112,12:00,18:00,4,2,Partly sunny.,26,220,75,1006
20170112,18:00,00:00,3,1,Light rain. Mostly cloudy.,18,170,90,998
20170113,00:00,06:00,4,1,Light rain. Passing clouds.,38,190,87,985
20170113,06:00,12:00,1,0,Light snow. Mostly cloudy.,47,250,93,987
20170113,12:00,18:00,1,0,Partly sunny.,31,270,91,997
20170113,18:00,00:00,0,-1,Passing clouds.,23,260,84,1000
20170114,00:00,06:00,1,-1,Light snow. Passing clouds.,33,230,91,998
20170114,06:00,12:00,1,0,Light snow. Partly sunny.,32,300,93,1003
20170114,12:00,18:00,1,-1,Partly sunny.,23,260,84,1008
20170114,18:00,00:00,0,-1,Passing clouds.,22,250,87,1009
20170115,00:00,06:00,0,-2,Partly cloudy.,22,270,87,1012
20170115,06:00,12:00,-1,-1,Passing clouds.,19,270,86,1015
20170115,12:00,18:00,0,-2,Passing clouds.,17,270,83,1017
20170115,18:00,00:00,-2,-2,Light snow. Partly cloudy.,17,280,92,1019
20170116,00:00,06:00,-2,-4,Passing clouds.,15,340,85,1020
20170116,06:00,12:00,-3,-6,Passing clouds.,12,320,86,1023
20170116,12:00,18:00,-2,-5,Scattered clouds.,11,310,81,1025
20170116,18:00,00:00,-4,-4,Partly cloudy.,7,0,87,1028
20170117,00:00,06:00,-4,-4,Passing clouds.,9,350,89,1030
20170117,06:00,12:00,-1,-4,Partly sunny.,7,350,81,1033
20170117,12:00,18:00,-2,-5,Passing clouds.,10,100,83,1035
20170117,18:00,00:00,-4,-5,Mostly cloudy.,10,80,92,1037
20170118,00:00,06:00,-5,-6,Light snow. Passing clouds.,7,50,95,1038
20170118,06:00,12:00,-5,-6,Partly sunny.,11,90,89,1038
20170118,12:00,18:00,-4,-7,Broken clouds.,11,70,83,1038
20170118,18:00,00:00,-6,-7,Passing clouds.,6,120,88,1038
20170119,00:00,06:00,-7,-8,Low clouds.,3,0,93,1037
20170119,06:00,12:00,-7,-9,Ice fog.,5,200,98,1037
20170119,12:00,18:00,-4,-7,Sunny.,5,0,84,1036
20170119,18:00,00:00,-7,-10,Ice fog.,7,210,95,1036
20170120,00:00,06:00,-8,-10,Clear.,10,210,85,1035
20170120,06:00,12:00,-2,-9,Partly sunny.,9,200,78,1035
20170120,12:00,18:00,-1,-3,Partly sunny.,5,10,71,1034
20170120,18:00,00:00,-2,-3,Passing clouds.,3,0,74,1033
20170121,00:00,06:00,-4,-5,Passing clouds.,3,0,82,1032
20170121,06:00,12:00,-3,-6,Sunny.,4,0,81,1031
20170121,12:00,18:00,0,-3,Sunny.,8,40,79,1030
20170121,18:00,00:00,-2,-5,Clear.,5,0,96,1029
20170122,00:00,06:00,-5,-6,Ice fog.,4,0,98,1028
20170122,06:00,12:00,-6,-7,Ice fog.,6,230,98,1027
20170122,12:00,18:00,-5,-7,Ice fog.,2,0,100,1025
20170122,18:00,00:00,-7,-12,Ice fog.,6,220,97,1024
20170123,00:00,06:00,-11,-12,Passing clouds.,11,220,93,1023
20170123,06:00,12:00,-7,-12,Clear.,9,230,91,1024
20170123,12:00,18:00,-7,-8,Ice fog.,6,0,96,1024
20170123,18:00,00:00,-7,-8,Ice fog.,6,0,94,1025
20170124,00:00,06:00,-5,-7,Light freezing rain. Ice fog.,8,220,97,1024
20170124,06:00,12:00,-4,-5,Snow flurries. Ice fog.,3,0,98,1026
20170124,12:00,18:00,-3,-4,Snow flurries. Mostly cloudy.,3,0,98,1028
20170124,18:00,00:00,-4,-4,Snow flurries. Ice fog.,3,0,100,1029
20170125,00:00,06:00,-3,-4,Snow flurries. Ice fog.,3,0,99,1029
20170125,06:00,12:00,-2,-4,Snow flurries. Ice fog.,5,0,100,1030
20170125,12:00,18:00,-2,-2,Ice fog.,7,70,99,1030
20170125,18:00,00:00,-2,-3,Ice fog.,5,70,95,1030
20170126,00:00,06:00,-2,-3,Overcast.,10,130,88,1029
20170126,06:00,12:00,-1,-5,Passing clouds.,8,130,79,1028
20170126,12:00,18:00,0,-2,Passing clouds.,10,70,77,1026
20170126,18:00,00:00,-3,-5,Clear.,9,90,81,1024
20170127,00:00,06:00,-4,-7,Clear.,7,120,85,1022
20170127,06:00,12:00,0,-8,Sunny.,5,0,78,1022
20170127,12:00,18:00,0,-2,Sunny.,7,0,76,1021
20170127,18:00,00:00,-2,-4,Clear.,14,210,82,1021
20170128,00:00,06:00,-4,-8,Clear.,15,230,95,1019
20170128,06:00,12:00,-1,-9,Sunny.,15,220,84,1018
20170128,12:00,18:00,2,-1,Sunny.,11,240,67,1018
20170128,18:00,00:00,0,-2,Clear.,18,200,78,1019
20170129,00:00,06:00,1,-3,Clear.,18,200,77,1020
20170129,06:00,12:00,5,-1,Passing clouds.,9,190,67,1021
20170129,12:00,18:00,6,1,Partly sunny.,13,250,79,1020
20170129,18:00,00:00,2,0,Passing clouds.,13,200,89,1020
20170130,00:00,06:00,1,0,Clear.,16,180,83,1018
20170130,06:00,12:00,4,2,Light rain. Broken clouds.,18,190,83,1014
20170130,12:00,18:00,5,4,Partly sunny.,29,210,85,1010
20170130,18:00,00:00,4,3,Passing clouds.,16,200,90,1009
20170131,00:00,06:00,4,1,Passing clouds.,11,280,96,1010
20170131,06:00,12:00,1,0,Light snow. Ice fog.,10,280,98,1013
20170131,12:00,18:00,0,0,Drizzle. Ice fog.,9,320,100,1015
20170131,18:00,00:00,0,0,Light freezing rain. Ice fog.,6,50,100,1018
20170201,00:00,06:00,-1,-1,Passing clouds.,4,0,100,1019
20170201,06:00,12:00,1,-1,Partly sunny.,6,0,95,1019
20170201,12:00,18:00,1,0,Partly sunny.,11,150,87,1018
20170201,18:00,00:00,0,-2,Clear.,10,190,93,1017
20170202,00:00,06:00,1,-2,Passing clouds.,8,200,93,1014
20170202,06:00,12:00,6,1,Broken clouds.,6,210,95,1012
20170202,12:00,18:00,8,4,Sunny.,7,170,89,1010
20170202,18:00,00:00,4,3,Clear.,11,190,92,1009
20170203,00:00,06:00,6,4,Clear.,15,190,85,1007
20170203,06:00,12:00,7,5,Sunny.,14,210,85,1006
20170203,12:00,18:00,7,5,Light rain. Partly sunny.,12,200,91,1006
20170203,18:00,00:00,5,3,Clear.,13,200,95,1005
20170204,00:00,06:00,5,3,Clear.,17,210,91,1004
20170204,06:00,12:00,8,4,Passing clouds.,16,170,80,1004
20170204,12:00,18:00,9,5,Passing clouds.,11,130,69,1001
20170204,18:00,00:00,5,2,Clear.,8,130,84,1000
20170205,00:00,06:00,3,2,Passing clouds.,14,220,93,1001
20170205,06:00,12:00,5,3,Partly sunny.,16,240,90,1003
20170205,12:00,18:00,7,2,Partly sunny.,7,10,75,1003
20170205,18:00,00:00,3,2,Passing clouds.,5,20,84,1006
20170206,00:00,06:00,2,1,Fog.,6,10,99,1010
20170206,06:00,12:00,1,1,Fog.,9,10,100,1015
20170206,12:00,18:00,1,0,Fog.,9,20,100,1018
20170206,18:00,00:00,0,-2,Ice fog.,10,50,100,1020
20170207,00:00,06:00,-2,-3,Ice fog.,12,70,100,1020
20170207,06:00,12:00,-2,-3,Snow flurries. Ice fog.,13,70,100,1020
20170207,12:00,18:00,-2,-2,Ice fog.,10,70,100,1019
20170207,18:00,00:00,-2,-2,Ice fog.,11,80,99,1020
20170208,00:00,06:00,-2,-3,Light snow. Ice fog.,12,60,98,1021
20170208,06:00,12:00,-3,-4,Ice fog.,14,60,92,1024
20170208,12:00,18:00,-3,-5,Low clouds.,15,70,88,1025
20170208,18:00,00:00,-5,-5,Low clouds.,11,60,92,1028
20170209,00:00,06:00,-5,-5,Low clouds.,10,110,90,1029
20170209,06:00,12:00,-5,-6,Ice fog.,12,60,93,1029
20170209,12:00,18:00,-4,-5,Ice fog.,18,50,90,1027
20170209,18:00,00:00,-4,-5,Passing clouds.,17,70,90,1026
20170210,00:00,06:00,-5,-6,Ice fog.,19,60,91,1024
20170210,06:00,12:00,-5,-6,Ice fog.,14,50,95,1023
20170210,12:00,18:00,-2,-4,Ice fog.,12,70,90,1022
20170210,18:00,00:00,-2,-2,Ice fog.,7,60,93,1022
20170211,00:00,06:00,-2,-2,Ice fog.,6,40,98,1021
20170211,06:00,12:00,0,-2,Ice fog.,6,350,100,1022
20170211,12:00,18:00,2,0,Fog.,11,60,93,1021
20170211,18:00,00:00,0,-1,Passing clouds.,9,70,96,1023
20170212,00:00,06:00,-1,-2,Passing clouds.,8,70,95,1025
20170212,06:00,12:00,-1,-2,Ice fog.,8,50,96,1027
20170212,12:00,18:00,-1,-1,Ice fog.,11,70,93,1030
20170212,18:00,00:00,-1,-1,Ice fog.,8,70,92,1032
20170213,00:00,06:00,-1,-5,Ice fog.,10,60,96,1032
20170213,06:00,12:00,-1,-6,Ice fog.,10,30,93,1033
20170213,12:00,18:00,2,0,Clear.,15,60,77,1032
20170213,18:00,00:00,0,-3,Clear.,11,50,86,1031
20170214,00:00,06:00,-3,-5,Clear.,7,60,96,1031
20170214,06:00,12:00,0,-6,Ice fog.,7,10,93,1032
20170214,12:00,18:00,4,0,Haze.,12,20,78,1032
20170214,18:00,00:00,2,-1,Ice fog.,4,350,86,1033
20170215,00:00,06:00,-2,-6,Ice fog.,11,230,98,1033
20170215,06:00,12:00,5,-5,Sunny.,11,220,83,1034
20170215,12:00,18:00,8,6,Sunny.,4,0,66,1033
20170215,18:00,00:00,6,0,Clear.,14,210,77,1032
20170216,00:00,06:00,0,-1,Clear.,19,220,87,1031
20170216,06:00,12:00,9,-1,Sunny.,17,220,83,1031
20170216,12:00,18:00,12,8,Sunny.,7,0,68,1028
20170216,18:00,00:00,7,4,Light rain. Passing clouds.,15,250,90,1026
20170217,00:00,06:00,4,2,Passing clouds.,16,260,99,1024
20170217,06:00,12:00,6,2,Sunny.,17,240,91,1022
20170217,12:00,18:00,6,4,Partly sunny.,23,260,91,1022
20170217,18:00,00:00,4,3,Passing clouds.,15,270,100,1024
20170218,00:00,06:00,3,3,Passing clouds.,13,270,99,1024
20170218,06:00,12:00,4,2,More clouds than sun.,11,310,94,1026
20170218,12:00,18:00,5,4,Partly sunny.,8,310,83,1025
20170218,18:00,00:00,4,0,Passing clouds.,9,240,88,1025
20170219,00:00,06:00,0,-2,Clear.,11,200,91,1024
20170219,06:00,12:00,5,-3,Sunny.,14,200,87,1022
20170219,12:00,18:00,6,4,Broken clouds.,16,220,78,1019
20170219,18:00,00:00,4,4,Passing clouds.,15,220,88,1019
20170220,00:00,06:00,4,2,Passing clouds.,14,220,93,1019
20170220,06:00,12:00,7,2,Partly sunny.,20,220,89,1018
20170220,12:00,18:00,8,6,Light rain. Mostly cloudy.,29,230,87,1014
20170220,18:00,00:00,8,7,Passing clouds.,29,230,91,1012
20170221,00:00,06:00,9,8,Passing clouds.,25,250,93,1010
20170221,06:00,12:00,9,8,Broken clouds.,25,290,84,1011
20170221,12:00,18:00,9,7,Partly sunny.,22,290,71,1013
20170221,18:00,00:00,7,4,Passing clouds.,11,200,85,1013
20170222,00:00,06:00,9,6,Passing clouds.,24,230,91,1009
20170222,06:00,12:00,10,9,Partly sunny.,37,240,82,1005
20170222,12:00,18:00,11,9,Broken clouds.,46,240,82,1003
20170222,18:00,00:00,9,6,Drizzle. Low clouds.,32,250,94,1003
20170223,00:00,06:00,9,6,Light rain. Overcast.,23,240,94,1003
20170223,06:00,12:00,9,8,Partly sunny.,31,220,88,1001
20170223,12:00,18:00,11,8,Partly sunny.,36,220,72,994
20170223,18:00,00:00,9,6,Clear.,51,240,66,991
20170224,00:00,06:00,7,2,Light rain. Mostly cloudy.,56,250,75,994
20170224,06:00,12:00,4,0,Partly sunny.,39,280,82,1005
20170224,12:00,18:00,4,2,Scattered clouds.,24,280,79,1011
20170224,18:00,00:00,2,-1,Passing clouds.,18,260,88,1016
20170225,00:00,06:00,-1,-3,Passing clouds.,13,230,90,1019
20170225,06:00,12:00,5,-3,Sunny.,14,210,85,1021
20170225,12:00,18:00,7,5,Partly sunny.,23,220,65,1019
20170225,18:00,00:00,7,5,Clear.,18,200,65,1016
20170226,00:00,06:00,7,5,Clear.,23,220,59,1014
20170226,06:00,12:00,9,5,Sunny.,24,220,66,1012
20170226,12:00,18:00,12,9,Sunny.,30,240,49,1011
20170226,18:00,00:00,9,7,Passing clouds.,16,220,61,1011
20170227,00:00,06:00,8,7,Passing clouds.,15,200,71,1010
20170227,06:00,12:00,12,8,Partly sunny.,20,210,67,1007
20170227,12:00,18:00,12,11,Passing clouds.,27,210,56,1001
20170227,18:00,00:00,12,9,Clear.,28,180,59,995
20170228,00:00,06:00,7,5,Light rain. Mostly cloudy.,25,210,86,994
20170228,06:00,12:00,7,4,Passing clouds.,34,210,75,995
20170228,12:00,18:00,8,5,Partly sunny.,30,200,64,992
20170228,18:00,00:00,4,3,Passing clouds.,27,190,87,993
20170301,00:00,06:00,3,2,Passing clouds.,26,230,81,997
20170301,06:00,12:00,7,2,Broken clouds.,31,230,82,999
20170301,12:00,18:00,9,4,Passing clouds.,36,240,74,1001
20170301,18:00,00:00,5,4,Passing clouds.,15,200,90,1002
20170302,00:00,06:00,7,4,Passing clouds.,26,230,86,999
20170302,06:00,12:00,7,4,Scattered clouds.,49,250,72,1002
20170302,12:00,18:00,8,6,Partly sunny.,43,270,58,1008
20170302,18:00,00:00,5,3,Clear.,27,240,80,1013
20170303,00:00,06:00,5,2,Clear.,15,200,79,1015
20170303,06:00,12:00,8,2,Sunny.,17,180,74,1013
20170303,12:00,18:00,10,7,Sunny.,18,180,49,1008
20170303,18:00,00:00,8,6,Clear.,15,180,57,1003
20170304,00:00,06:00,7,5,Clear.,15,190,60,1000
20170304,06:00,12:00,13,4,Sunny.,11,170,59,998
20170304,12:00,18:00,17,13,Passing clouds.,11,100,43,994
20170304,18:00,00:00,13,9,Clear.,19,180,61,993
20170305,00:00,06:00,8,6,Passing clouds.,23,210,80,998
20170305,06:00,12:00,8,5,Partly sunny.,25,210,73,1002
20170305,12:00,18:00,10,8,Partly sunny.,21,200,59,1001
20170305,18:00,00:00,7,5,Clear.,13,190,73,999
20170306,00:00,06:00,6,2,Light rain. Mostly cloudy.,12,210,91,999
20170306,06:00,12:00,6,2,Broken clouds.,15,210,88,1000
20170306,12:00,18:00,6,4,Drizzle. Broken clouds.,14,260,88,998
20170306,18:00,00:00,4,3,Passing clouds.,14,280,95,1001
20170307,00:00,06:00,3,3,Light rain. Passing clouds.,21,300,95,1005
20170307,06:00,12:00,4,2,Light rain. Broken clouds.,14,310,97,1010
20170307,12:00,18:00,7,4,Scattered clouds.,10,310,86,1013
20170307,18:00,00:00,4,2,Sprinkles. Partly cloudy.,13,230,96,1017
20170308,00:00,06:00,3,2,Partly cloudy.,16,240,94,1019
20170308,06:00,12:00,6,2,Partly sunny.,20,200,85,1020
20170308,12:00,18:00,7,6,Overcast.,31,190,73,1016
20170308,18:00,00:00,6,4,Light rain. Passing clouds.,29,210,91,1013
20170309,00:00,06:00,6,4,Passing clouds.,19,280,97,1015
20170309,06:00,12:00,9,4,Passing clouds.,10,190,85,1018
20170309,12:00,18:00,11,9,Sprinkles. Scattered clouds.,18,220,78,1015
20170309,18:00,00:00,9,5,Sprinkles. Passing clouds.,29,290,82,1016
20170310,00:00,06:00,5,4,Passing clouds.,27,290,82,1020
20170310,06:00,12:00,7,4,Partly sunny.,21,300,77,1024
20170310,12:00,18:00,8,5,Passing clouds.,20,310,67,1025
20170310,18:00,00:00,5,0,Clear.,13,310,83,1026
20170311,00:00,06:00,1,0,Clear.,15,210,90,1026
20170311,06:00,12:00,9,0,Sunny.,7,0,78,1025
20170311,12:00,18:00,10,8,Passing clouds.,11,40,58,1022
20170311,18:00,00:00,7,3,Clear.,7,100,75,1022
20170312,00:00,06:00,2,-1,Clear.,3,0,94,1020
20170312,06:00,12:00,7,-2,Passing clouds.,8,100,79,1020
20170312,12:00,18:00,8,6,Partly sunny.,17,80,57,1018
20170312,18:00,00:00,5,1,Passing clouds.,10,80,69,1020
20170313,00:00,06:00,2,-2,Clear.,5,0,75,1021
20170313,06:00,12:00,8,-2,Passing clouds.,11,180,68,1024
20170313,12:00,18:00,9,8,Sunny.,11,280,52,1025
20170313,18:00,00:00,8,3,Clear.,13,250,70,1027
20170314,00:00,06:00,6,4,Overcast.,16,260,77,1029
20170314,06:00,12:00,10,4,Sunny.,14,280,81,1030
20170314,12:00,18:00,13,11,Partly sunny.,17,280,60,1029
20170314,18:00,00:00,10,6,Clear.,13,220,76,1029
20170315,00:00,06:00,8,5,Passing clouds.,13,230,85,1029
20170315,06:00,12:00,10,7,Broken clouds.,13,280,86,1030
20170315,12:00,18:00,13,10,Partly sunny.,18,290,58,1029
20170315,18:00,00:00,9,5,Clear.,12,260,72,1029
20170316,00:00,06:00,5,3,Clear.,12,230,87,1027
20170316,06:00,12:00,11,4,Sunny.,14,280,70,1026
20170316,12:00,18:00,14,12,Passing clouds.,11,290,40,1022
20170316,18:00,00:00,12,6,Clear.,12,200,58,1019
20170317,00:00,06:00,7,6,Clear.,17,210,65,1015
20170317,06:00,12:00,11,6,Broken clouds.,19,230,66,1013
20170317,12:00,18:00,11,7,Broken clouds.,24,300,69,1012
20170317,18:00,00:00,6,5,Clear.,14,240,73,1011
20170318,00:00,06:00,7,4,Light rain. Passing clouds.,23,230,85,1004
20170318,06:00,12:00,10,5,Partly sunny.,45,250,84,1000
20170318,12:00,18:00,10,8,Light rain. Broken clouds.,33,290,92,1003
20170318,18:00,00:00,8,6,Light rain. Passing clouds.,17,280,93,1007
20170319,00:00,06:00,6,5,Passing clouds.,6,0,93,1009
20170319,06:00,12:00,11,5,Light rain. Partly sunny.,17,190,97,1008
20170319,12:00,18:00,13,11,Partly sunny.,33,250,81,1005
20170319,18:00,00:00,12,10,Passing clouds.,28,260,74,1006
20170320,00:00,06:00,10,9,Passing clouds.,29,240,73,1008
20170320,06:00,12:00,12,9,Broken clouds.,34,240,79,1009
20170320,12:00,18:00,12,11,Partly sunny.,31,220,72,1007
20170320,18:00,00:00,11,9,Passing clouds.,27,220,71,1006
20170321,00:00,06:00,9,8,Passing clouds.,24,220,76,1006
20170321,06:00,12:00,10,7,Partly sunny.,26,230,83,1007
20170321,12:00,18:00,10,6,More clouds than sun.,20,220,85,1008
20170321,18:00,00:00,6,5,Light rain. Mostly cloudy.,11,250,94,1012
20170322,00:00,06:00,5,3,Partly cloudy.,8,280,84,1014
20170322,06:00,12:00,7,3,Passing clouds.,12,100,71,1016
20170322,12:00,18:00,9,7,Light rain. Mostly cloudy.,16,100,68,1015
20170322,18:00,00:00,7,5,Passing clouds.,11,90,88,1015
20170323,00:00,06:00,5,5,Passing clouds.,6,100,95,1015
20170323,06:00,12:00,7,5,Fog.,7,350,99,1016
20170323,12:00,18:00,8,7,Partly sunny.,11,40,90,1018
20170323,18:00,00:00,7,5,Passing clouds.,14,70,92,1021
20170324,00:00,06:00,5,4,Fog.,12,50,95,1024
20170324,06:00,12:00,9,4,Partly sunny.,14,70,86,1028
20170324,12:00,18:00,10,8,Passing clouds.,17,70,65,1029
20170324,18:00,00:00,8,5,Clear.,7,60,71,1031
20170325,00:00,06:00,4,-1,Clear.,5,0,88,1031
20170325,06:00,12:00,10,-1,Sunny.,8,30,79,1030
20170325,12:00,18:00,12,11,Passing clouds.,13,50,47,1026
20170325,18:00,00:00,10,5,Clear.,6,0,56,1024
20170326,00:00,06:00,5,2,Clear.,6,30,79,1024
20170326,06:00,12:00,8,1,Sunny.,6,30,84,1024
20170326,12:00,18:00,12,9,Passing clouds.,14,70,53,1024
20170326,18:00,00:00,11,6,Clear.,10,70,56,1025
20170327,00:00,06:00,5,0,Clear.,10,200,78,1026
20170327,06:00,12:00,12,1,Sunny.,7,200,62,1026
20170327,12:00,18:00,16,12,Passing clouds.,12,0,40,1024
20170327,18:00,00:00,16,6,Clear.,10,90,51,1023
20170328,00:00,06:00,6,2,Clear.,18,210,80,1022
20170328,06:00,12:00,17,2,Sunny.,14,210,63,1022
20170328,12:00,18:00,20,18,Passing clouds.,16,240,30,1021
20170328,18:00,00:00,18,11,Clear.,16,250,56,1021
20170329,00:00,06:00,12,7,Clear.,14,230,77,1022
20170329,06:00,12:00,14,8,Sunny.,23,250,73,1023
20170329,12:00,18:00,16,14,Partly sunny.,31,260,57,1023
20170329,18:00,00:00,15,11,Clear.,17,290,65,1024
20170330,00:00,06:00,11,10,Passing clouds.,12,230,79,1026
20170330,06:00,12:00,16,10,Partly sunny.,14,230,77,1026
20170330,12:00,18:00,19,16,Scattered clouds.,10,220,54,1025
20170330,18:00,00:00,17,12,Clear.,12,190,67,1024
20170331,00:00,06:00,11,10,Clear.,14,190,80,1021
20170331,06:00,12:00,20,10,Sunny.,19,190,66,1019
20170331,12:00,18:00,22,21,Passing clouds.,22,200,37,1016
20170331,18:00,00:00,21,12,Clear.,14,200,50,1014
20170401,00:00,06:00,12,7,Clear.,15,210,70,1013
20170401,06:00,12:00,16,6,Sunny.,10,210,67,1012
20170401,12:00,18:00,20,15,Scattered clouds.,14,50,59,1010
20170401,18:00,00:00,16,11,Clear.,8,350,77,1010
20170402,00:00,06:00,10,6,Clear.,17,270,97,1013
